s.area	m.eccentricity	s.radius.sd	h.sva.s2	h.idm.s1	h.sen.s1	m.majoraxis
363	0.769368293019746	5.29616154935745	354.680697964982	0.346314156370718	1.20885158413908	40.1444735829109
33	0.906664204317231	1.09493654668668	250.868407193432	0.376320977324073	0.990759899771728	10.3484717406413
82	0.799049300654189	1.11486020794661	445.971692147046	0.282770275911148	1.23748688419014	13.4770273148808
57	0.934337791628109	1.87967914536255	334.882819814014	0.363840725698311	1.04544019818448	15.7472102757682
1124	0.768546162609277	8.61203181257742	332.179013183888	0.347958547751972	1.17535310157067	76.804848919266
38	0.842036419642757	0.910209722140662	197.614301288537	0.401616836194841	0.907195638595094	9.59838862600425
535	0.870944011615105	6.16169662470564	367.105706787223	0.329991767975242	1.20645266503037	55.1746563166528
1111	0.98160781485197	16.6723953518332	388.92658432981	0.340387546184108	1.24775492223751	141.898450622399
48	0.913248920180166	1.35658017679736	278.0164981768	0.359886258037519	1.00446229243613	12.5369983054438
1902	0.951571124751619	15.4920490407088	364.688094620989	0.34018956762727	1.2155085154703	142.29748766423
92	0.786760948805166	1.88235624416582	314.698346054872	0.332940571391074	1.11116371808134	16.3945118906972
90	0.908465487719499	1.94582056075408	326.924583510176	0.362114748979515	1.12232005554204	18.1144675652433
121	0.921669642611947	2.76477737531704	284.432639312295	0.3685685524265	1.08770831612	24.1025985156602
43	0.251985976817842	0.266180191437306	329.044373891198	0.286911494939176	1.10301064701858	7.51130390258097
70	0.934772847273583	1.87278142999605	724.452934480428	0.285110418536955	1.31715275734467	16.3046129162973
112	0.690108809809501	1.86354231903059	361.217655767489	0.336605543129607	1.20529520272511	16.00233618966
34	0.850217581600301	0.876362901009987	428.162883153724	0.284303974562798	1.17726673183412	9.27919840664823
52	0.837025999364796	1.47479884407179	190.052761992931	0.438899857885659	0.837776901167453	15.285805058506
245	0.927688419762476	4.20824108182859	510.62649430442	0.30373899057864	1.32465569565788	37.2504404011951
86	0.942757626925124	2.64414425060263	264.51176666343	0.350337607943627	1.03719335190737	22.1307363152212
107	0.952564374187032	3.16934038590346	325.001247248016	0.419495396867112	1.04432784242932	27.2812399519342
294	0.948751429900287	5.23085046660366	283.354852491764	0.389126848056639	1.07440987904522	46.5015807303738
246	0.849124296884325	4.16382703828353	449.273088556146	0.328088618205694	1.27106412636227	32.5526780923401
98	0.919754354265818	2.45930959854474	334.483573850827	0.357419871957152	1.16563121914812	20.7521526473896
139	0.874298458075927	2.04444888661855	401.021552033916	0.319331459927368	1.23358049713598	20.7188068871967
482	0.951398682431757	7.82741893811523	410.899337829464	0.334677300052327	1.26064202523915	63.3567260827898
65	0.940978361169421	2.34473700805774	261.924368182212	0.39613112247544	0.984299720089868	18.4126675535057
32	0.77270065015409	0.615185798406914	220.726285982282	0.392989707974228	0.857642298275149	8.0917632661966
245	0.942575050406577	5.12261389850549	391.696714310638	0.334615091109209	1.19966553388936	40.2539132101306
255	0.844178592807245	3.70285214704169	320.233969468228	0.361336695549615	1.14592773399826	33.4251397494733
82	0.943393957573168	2.42315691237796	308.682480235243	0.339770823541199	1.08781777674899	19.6861463330957
521	0.835711487730235	5.24956197361174	449.479767627119	0.319452311643141	1.29388305830168	47.8115549484244
67	0.809022610888055	1.22848988241632	406.786960157923	0.349326593053916	1.06346399015873	12.8169309549133
141	0.935794378861692	3.17827038354887	368.849362969222	0.340550144468325	1.19746193627241	25.1892835249894
154	0.648937096642932	2.62404408367577	354.630004356879	0.352820231349643	1.08734188433936	20.9637251502876
40	0.692737233348059	0.679304873728839	323.283564150033	0.364365233720072	1.06719313432229	8.64129480396537
336	0.938025470519606	5.13780047621292	390.401872324576	0.334285477406683	1.21411510514756	46.5755750789165
769	0.935406944646592	8.60961546308216	373.635799788541	0.342640931040831	1.22414105167001	89.0361637786696
690	0.758186013296626	7.69639660847737	347.034120297176	0.353746144812629	1.2085845765999	68.5558091211191
55	0.915304734371127	1.45502026230695	216.819943035548	0.419294798489845	0.987979191800396	13.688128641034
351	0.905723443952369	4.97961996393534	436.7711551385	0.33543861969186	1.28945445817505	42.1705701285415
61	0.853494482938945	1.3493174371498	503.135427642705	0.277267572603213	1.32497879839061	13.0421115801719
442	0.893152876347127	5.79886137579386	346.582887127164	0.351400376117524	1.18881057941008	48.224667496853
66	0.828291218882502	1.5053512587722	226.261194972076	0.371291913976094	1.02984662503974	14.0701296595435
108	0.824713313607052	1.85094024389218	413.494442128217	0.340187536155811	1.21396311706396	16.9285377066417
139	0.703283958848544	2.4765149966137	209.004485078183	0.393863504516351	0.943161289439399	20.4551733687443
486	0.856757614086141	5.63570273644346	430.550469083568	0.365357694690492	1.22945590246528	50.2970376659439
127	0.194405726444723	1.67514871224201	454.30254193079	0.304161529447362	1.24179627377012	14.6133915342334
80	0.835824741964465	1.77371555213108	268.002970076712	0.341159958448961	1.05601871863822	15.492918411831
35	0.762743791287997	0.756784349298364	214.46273844638	0.384302171596289	0.949166293671638	8.50157419011849
551	0.721132494501013	6.41462305035323	416.443848992234	0.352415469081379	1.25273361738744	61.0719286777303
389	0.951991838189701	6.05684600628825	547.270806188156	0.331975955526742	1.33310276061847	50.0362778724497
277	0.919074916137114	4.85210421442181	335.85191156454	0.349278416792523	1.17229456019432	39.2590292569607
103	0.898291365706281	2.37469765000705	258.556583053877	0.37952413285506	1.03745322180841	21.148665616672
1067	0.66344276833894	7.45243388371106	418.954933170086	0.33129310255384	1.25572610823818	68.4056140065908
511	0.949312585134482	7.67645138318136	356.96660257112	0.358991995849198	1.21040698769067	69.4343929510874
207	0.497875435590026	2.44637337282275	408.428186036717	0.331163957608607	1.212953752875	20.7795644151012
238	0.877935323336926	3.40928118327307	392.448077327057	0.332469393479671	1.24417647133464	29.2089357699112
86	0.887525283372929	1.5511095851651	377.699441961652	0.312967891733426	1.15254848939029	15.8468833616249
306	0.93270556087774	4.86739607207065	497.060482676977	0.320780194590044	1.30067743323912	42.0553258554548
197	0.742963957903484	3.11777430093422	307.530483624655	0.347034092075068	1.14884561870114	24.7034020619825
73	0.934743218229764	1.80752352103752	257.72170417986	0.374983806555815	1.09253036508773	16.5131941244436
182	0.995817510458418	6.80774722471464	224.152194480503	0.416311422175296	1.02180059973879	56.3176000809161
306	0.73708259636038	5.11314115093304	288.670668338393	0.373667890844361	1.1165350991891	36.0787656800328
304	0.452906048418894	3.25691124814581	318.760222659122	0.364180682850556	1.1377441843942	29.3390734816572
48	0.71339098464614	0.961192575678772	261.186292586056	0.364162862650258	0.98210707148913	10.1018369899117
376	0.954654228335714	5.80408128565569	468.994742756228	0.351507484768852	1.29166859790722	47.0207716703335
275	0.868941709618512	4.08976272951785	192.150476053981	0.432111644787976	0.925110848077627	34.8769407960278
180	0.957310585439675	3.92763183131105	297.645163466546	0.350061101825808	1.12688966336908	32.0286163498583
238	0.972086930933034	6.13258141626231	247.201973848796	0.382770595315487	1.03560829704235	49.25231683251
43	0.820804459521744	0.822094553146782	232.104922470372	0.376781675357527	0.9983640326301	9.96050624484602
451	0.795034933139974	5.03825673078309	406.562229069244	0.338209782135016	1.2305275265444	45.1207398290378
48	0.787727741781658	0.866153838218535	332.459456402998	0.324691085617243	1.09472629487159	10.2396248690015
54	0.864952567801921	1.23180376445922	286.400404800426	0.358691788491014	1.02266621971114	12.3078447889586
654	0.974649653840403	11.2686870747523	474.24195134399	0.306142080848749	1.30440197317158	88.2016670612655
156	0.864959257617196	2.82001078739461	238.604748156886	0.373229384046312	1.07060730093237	25.20577914274
132	0.885024961870398	2.13621182108218	429.675079701645	0.331766908311026	1.25022856582032	20.2133317822041
148	0.805429305556211	3.07486776520063	225.206409374645	0.38412176824321	1.0161327212089	24.8144801245781
317	0.724675604882655	4.40530044295894	326.593337290497	0.353069705134739	1.12728303732082	39.0649023597368
35	0.535895222161356	0.40521356472388	289.231055487421	0.37463718990911	1.01678227140658	7.33526550461301
72	0.70344173330584	1.28040482049666	267.598693013958	0.358183630165054	1.07437172190103	12.5596338358843
195	0.834554730845035	3.47460419167481	311.308886532545	0.344036593789205	1.16579676799844	27.4480003139366
73	0.748102618638637	1.31680930858697	286.479225314305	0.363304639097261	1.13102522158569	12.9767794737184
859	0.922645985004255	9.29623745664382	341.529611403258	0.364518670218118	1.1862309010058	77.7030156754808
357	0.948690173797739	5.81672046878978	337.820634267202	0.348984935988784	1.16877391694518	48.7459709333472
387	0.828097692631267	4.25206410587601	353.568525024805	0.350529150762802	1.17442327891592	45.4788301822419
238	0.897120248257723	4.18568018685591	340.467704366966	0.36194433937252	1.18096100947241	33.6651962619302
994	0.813507771767662	8.65922754516174	400.787430100422	0.340136941837457	1.26132727676753	72.663067388246
212	0.416770604123743	1.95708466910019	706.415401384568	0.29447955910954	1.41302045230478	19.0689770706855
87	0.949352442153777	2.31198424561541	299.197973966729	0.35638350417868	1.03657744550691	19.7557476309386
404	0.400149790635718	3.96067111654336	380.592822557158	0.344220011087889	1.21828107658131	35.360437846169
74	0.687543284218767	1.30302179099745	290.17144135963	0.361474225970737	1.07751521053556	12.6891958766218
199	0.899733755341854	3.16304278707952	317.797237770124	0.372632002895378	1.13871049627071	28.0919790116092
132	0.563057885816734	1.10836796150272	626.356369219793	0.292228792452759	1.36550794074936	14.933253948447
53	0.963702988611767	2.01542927171948	193.262933498013	0.424401673483727	0.865224468201507	16.5039167015108
501	0.959174452267922	8.24913047674682	313.218102396677	0.341861689411358	1.15532872104503	66.8323632239774
531	0.861161850587344	7.24877978549135	338.359124072329	0.341233996455426	1.17126851165676	62.2415726764991
103	0.906938733678384	2.21933007484239	296.382112286788	0.338151919928844	1.10749988869662	19.2705616161637
242	0.784061056394322	3.71724302814541	488.347581824339	0.343520260205682	1.25819748534194	29.7190111996382
833	0.933461007983832	9.06444570493862	403.958745254544	0.340142461168003	1.26265754534607	79.1726232712313
460	0.775236692080486	5.24460448591768	330.002833470507	0.363318767786103	1.15916249155851	47.5001685850685
343	0.93895449640456	5.83360126812367	325.258724592463	0.337186247213269	1.13587701887823	49.2261997132814
34	0.587285634139304	0.520517467572352	215.820730436129	0.369129001239728	0.92165252630977	7.49475099536107
54	0.903339042398546	1.77212465617796	181.201634686574	0.447608566711508	0.866384654144266	15.0956996480487
31	0.749270044644256	0.525960515510479	211.107430988594	0.358162062222783	0.931078419619481	7.72626827194107
234	0.735950454019033	3.46584241503643	227.021909663532	0.373961852003154	1.01354108963928	30.538291210189
75	0.835573750587997	1.85793094587004	217.473297311288	0.349816600810515	1.02379392878101	15.7462031481643
726	0.847743836191934	6.90108536426221	402.204658486006	0.340401988064304	1.23253644610442	59.5699970185651
91	0.871208506175731	2.03767408719366	239.474834641996	0.394801271860095	1.03643687283279	18.1463231166473
52	0.809666930151017	1.43382861768351	189.651123529998	0.367983620461799	0.847443447725196	12.8987954310791
